pump_id,temperature_c,psi,flow_rate_lpm,load_pct,vibration_hz,phase
PMP-01,71.25,137.45,313.34,62.03,27.67,NOMINAL
PMP-01,71.22,138.21,313.77,61.47,26.88,NOMINAL
PMP-01,70.85,137.01,315.27,62.22,26.58,NOMINAL
PMP-01,70.82,137.65,317.36,61.31,26.96,NOMINAL
PMP-01,71.03,138.35,317.83,60.88,26.21,NOMINAL
PMP-01,70.97,138.34,316.27,61.14,26.14,NOMINAL
PMP-01,71.37,137.62,314.8,60.49,26.36,NOMINAL
PMP-01,70.86,137.56,315.61,60.03,26.2,NOMINAL
PMP-01,70.32,137.41,313.25,59.63,26.94,NOMINAL
PMP-01,70.44,136.26,313.73,58.66,27.49,NOMINAL
PMP-01,70.28,137.66,311.36,58.31,28.17,NOMINAL
PMP-01,70.28,136.7,310.7,57.41,28.21,NOMINAL
PMP-01,70.53,135.54,311.03,57,28.17,NOMINAL
PMP-01,70.28,135.53,313.1,57,27.44,NOMINAL
PMP-01,70.23,135.26,312.41,57.14,27.1,NOMINAL
PMP-01,70.26,134.34,310.97,57.34,26.35,NOMINAL
PMP-01,70.37,133.87,310.79,57.32,27.05,NOMINAL
PMP-01,69.78,132.47,312.72,57.74,27.42,NOMINAL
PMP-01,69.33,132.65,313.74,57,27.21,NOMINAL
PMP-01,69.66,133.71,313.43,57,26.89,NOMINAL
PMP-01,69.61,133.96,314.69,57.77,26.87,NOMINAL
PMP-01,69.87,135.27,313.16,57.06,26.19,NOMINAL
PMP-01,69.82,134.18,314.13,57.5,26.16,NOMINAL
PMP-01,70.22,134.31,315.83,57.85,26.82,NOMINAL
PMP-01,70.58,135.81,313.34,58.72,27.22,NOMINAL
PMP-01,70.35,135.94,314.54,58.6,27.23,NOMINAL
PMP-01,70.69,136.61,312.68,58.29,26.58,NOMINAL
PMP-01,70.86,136.07,311.51,57.48,27.02,NOMINAL
PMP-01,70.64,137.27,311.21,58.24,26.22,NOMINAL
PMP-01,71.07,135.85,308.91,58.22,25.52,NOMINAL
PMP-01,71.58,136.54,311.22,59.16,25.17,NOMINAL
PMP-01,71.72,137.27,311.38,59.05,25.83,NOMINAL
PMP-01,71.12,136.48,309.65,58.53,26.2,NOMINAL
PMP-01,70.85,136.26,310.59,57.68,25.44,NOMINAL
PMP-01,70.57,134.79,310.72,57,26.24,NOMINAL
PMP-01,71.0,134.56,312.23,57,26.23,NOMINAL
PMP-01,71.54,133.53,310.31,57,26.17,NOMINAL
PMP-01,71.84,133.69,308.32,57.08,26.66,NOMINAL
PMP-01,71.8,132.88,310.25,57.67,27.23,NOMINAL
PMP-01,71.82,133.47,308.83,57.97,27.25,NOMINAL
PMP-01,71.73,133.92,306.8,57.75,26.51,NOMINAL
PMP-01,72.0,132.49,305.23,57.88,26.35,NOMINAL
PMP-01,72.47,131.62,306.35,58.46,26.05,NOMINAL
PMP-01,72.56,131.52,307.18,58.44,25.39,NOMINAL
PMP-01,72.2,130.62,309.5,58.94,25.16,NOMINAL
PMP-01,72.15,130,311.86,59.29,24.63,NOMINAL
PMP-01,72.32,130,311.52,59.96,24.16,NOMINAL
PMP-01,72.01,130.36,309.75,60.83,24,NOMINAL
PMP-01,71.5,130,307.64,61.47,24.64,NOMINAL
PMP-01,71.83,130,309.04,60.73,25.04,NOMINAL
